position,artist,song,time,album,label,notes
1,Hello Meteor,Reitoru Skyport,,Earth Journos,,Feb 2023 ambient cozywave
2,Vangelis,Heaven and Hell Part 1 (excerpt),,Heaven and Hell,RCA,Opening music to “Cosmos” by Carl Sagan
3,Public Service Broadcasting,Sputnik,,The Race for Space,Test Card Recordings,Includes signal from Sputnik 1
4,Vangelis,Atlas Push,,Juno to Jupiter,Decca,Includes audio from NASA’s Juno launch
5,Vangelis,Apo 22,,Juno to Jupiter,Decca,Samples from JPL control room
6,Terminus Void,Inception,,Origins Unknown,,Brand new! Includes audio recorded by NASA’s Juno spacecraft at Ganymede
7,Vangelis,Albedo 0.39,,Albedo 0.39,RCA,"The Earth’s reflecting power is 39%, or Albedo 0.39"
8,Pink Floyd,Set the Controls for the Heart of the Sun,,Saucerful of Secrets,EMI,"We set the controls for the heart of the sun, one of the ways we show our age"
9,Steve Roach,The Sky Opens,,The Sky Opens,Projekt,"Live in Pasadena, CA, 2019"
10,Dreamstate Logic,First Contact,,Starbound,,Brand new from Seattle’s Colby Sixx
11,End,Segment,,One,Segment,End
12,Public Service Broadcasting,The Other Side,,The Race for Space,Test Card Recordings,Apollo 8 – first human orbit of the moon
13,Public Service Broadcasting,Go,,The Race for Space,Test Card Recordings,Apollo 11 moon landing
14,Remote Vision,The Temporal Sequence,,The Architecture of Time,Synphaera,Dedicated to the electronic pioneers
15,Vangelis,Blush Response,,Blade Runner,Atlantic,Do you like our owl?
16,Transponder,Running Binary Nightside,,"Starmaps, Vol 1",Synphaera,Steve Pierce and Don Tyler
17,Caterina Barbieri,Closest Approach to your orbit,,Ecstatic Computation,,2019 LP from Italian composer
18,ARC,Arcturus Pt 1,,Arcturus (DiN 19),DiN,"Live at the Hampshire Jam, October 2004"
19,Vangelis,Tears in Rain,,Blade Runner­­,Decca,I’ve seen things you humans wouldn’t believe
