position,artist,song,time,album,label,notes
1,Terminus Void,Beyond Static Tolerance,,Interstellar,,Debut LP for Seattle’s J. Ronald Smith (2021)
2,Norm Chambers,Bathyal,,Seaside Resonance,Hotham Sound,"we miss you, Norm"
3,Carolyn Cruso & Robert Almblade,Fahren Nach Freiburg,,The Fifth Element,demo,Orcas Island singer/songwriter/teacher on hammered dulcimer
4,Dorothy Ashby,Windmills of Your Mind,,Dorothy’s Harp,Cadet,Free-jazz harpist
5,Roy Ayers,Reaching the Highest Pleasure,,Reaching the Highest Pleasure,BBE Music,"Lost track from the “Virgin Ubiquity” sessions, released 2020"
6,Rudy Adrian,A Walk In The Shadow Garden,,a walk in the shadow garden,Spotted Peccary,Brand new from the prolific New Zealand ambient musician
7,Bruce Mitchell,Reflections,,Hidden Pathways,Narada Equinox,"Melodic New Age from Ontario artist, staple of Narada samplers in 80s"
8,style.king.of.the.week,gasoline ashes,,style king of the week,,Brand new from Seattle cassette-culture duo
9,Cruel Diagonals,Penance,,fractured whole,Beacon Sound,"Portland, April 2 Seattle, April 7 Brand new dark avant-garde ambient from LA’s Megan Mitchell"
10,Bart Hawkins,Race to Cosmos Redshift 7 Galaxy,,enter the axis mundi,Spotted Peccary,"modular atmospheres, prolific Oregon artist"
11,Chuck van Zyl,The Zanti Misfits,,tone science no 5: integers and quotients,Tone Science DiN,Philadelphia master of space music with famed broadcast Stars End on WXPN + on modular celebration compilation
12,diane arkenstone,seduction (excerpt),,world calling,,Brand new from New Age legend
13,Altin Gün,rakya su katamam,,A​ş​k (love),ATO,"New album drops 3/31 “I can’t add water to raki” (love song – raki is a strong distilled grape liquor), traditional Turkish folk song"
14,mildlife,rare air,,automatic,Heavenly,"Joyous psych-jazz-fusion from Melbourne, Australia"
15,sam rosenthal feat. reggie watts,trip 4 feat. reggie watts,,"tim, where are you now ?",Projekt,"compilation for Timothy honoring the centenary of the birth of LSD and DMT guru Timothy Leary; includes clips of Leary as well as visionaries and authors; here Reggie Watts, poet and bandleader on CBS’ The Late Late Show"
16,Mount Maxwell,Be Angry At The Sun,,Calliope,Hotham Sound,Vancouver artist/label from compilation of global artists benefits reproductive rights group NARAL
17,ST∆ER,Manifold,,Equilibrium,,Philadelphia space music project of Ian R. Staer
18,Pat Metheny,Bright Size Life,,Bright Size Life,ECM,"1976 debut LP, fusion trio w/ jaco pastorius and bob moses"
19,Gogo Penguin,Parasite,,Everything Is Going To Be Okay,XXIM,Live at the Neptune May 2! brand new minimalist jazz from the UK trio!
20,Lori Goldston,Was There A Light?,,film scores,,Live at The Vera Project April 14! original live score for Carl Theodor Dreyer’s 1928 silent film THE PASSION OF JOAN OF ARC
21,Clannad feat. Bono,In a Lifetime,,Macalla,RCA,later re-released on multiple Clannad albums
22,"Son Lux feat. Mitski, David Byrne",This Is a Life,,everything everywhere all at once (OSTT,A24 Music,amazing song from astounding film starring Michelle Yeoh
