position,artist,song,time,album,label,notes
1,Chromatics,Cherry,,Cherry (Deluxe),Italians Do It Better,2017 EP from Portland
2,Mt. Fog,Blue Summer (Graduation Remix),,Blue Summer (Graduation Remix),Ghost Mountain,Mar 31 vinyl release party: Easy Street Records
3,Caroline Polachek,Door,,Pang,Sony Music,May 4 & 5: Showbox Sodo
4,Tune-Yards,hypnotized,,sketchy.,4AD,2021 album from Merrill Garbus
5,Midday Veil,Babel,,This Wilderness,Beyond Records,2015; Seattle group co-founded by Emily Pothast
6,L’Rain,Two Face,,Fatigue,Mexican Summer,Experimental musician Taja Cheek
7,Delia Derbyshire,BBC interview (excerpt) Time on our Hands (excerpt) Doctor Who Theme,,BBC Radiophonic Workshop – 21,BBC Records,Incidental music for program on leisure Iconic sci-fi theme
8,Lisa Bella Donna,Onward to a Dream,,Moogmentum,Behind The Sky Music,2021 Benefit for Bob Moog Foundation
9,Stephanie Sante,Binary Cluster,,Dark Matter Evolution,Sante Music,SF Bay composer
10,Suzanne Ciani,3-2-1 Contact interview (excerpt) Morning Spring,,@0 EP,Ninja Tune,Ambient compilation…
11,Kaitlyn Aurelia Smith,Mt Baker,,@0 EP,Ninja Tune,…benefitting mental-health charities
12,Enya,Caribbean Blue,,Shepherd Moons,1991,Iconic 3rd LP
13,Laura Groves,Infinite Wisdom,,A Private Road,,UK dreamy pop
14,Sarah McLachlan,Into the Fire,,Solace,Nettwerk,"1991, 2nd LP"
15,NAVVI,Clemency,,V,Hush Hush,New LP drops May 5 pre-order on Bandcamp
16,Wendy Carlos,BBC interview Brandenburg Conctero No. 3 in G Major: I. Allegro,,Switched-on Bach 2000,Telarc,"1992 , 25th anniversary of Switched-On Bach"
17,Sign Libra,Sea of Nectar,,Sea to Sea,,Latvian n new age
18,Patricia Wolf,Pacific Coast Highway,,See-Through,,"Touring! May 10 – Victoria BC May 11 – Vancouver May 12 – Bellingham, May 13 – Seattle May 14 – Portland"
19,Caterina Barbieri,Pinnacles of You,,Ecstatic Computation,,Berin school from Berlin artist
20,Rachel Therrien Latin Jazz Project,Mojo,,Mi Hogar,Outside In Music,Quebec nu-jazz trumpeter
21,Mary Halvorson,Amaryllis,,Amaryllis,,Two LP set (Amaryllis/Belladonna) from fusion guitarist
22,Kelly Lee Owens,Jeanette,,Inner Song,Smalltown Smpersound,Ambient techno from 2020
23,Grouper,Heavy Water I’d Rather Be Sleeping,,Dragging a Dead Deer,,Slowcore/horror-core from Portland
24,Julianna Barwick,Oh Memory ft. Mary Lattimore,,Healing is a Miracle,Ninja Tune,"Ambient collabs with Nosaj Thing, Jónsi, and harpist Mary Lattimore"
