position,artist,song,time,album,label,notes
1,Dreamstate Logic,Andromeda Terminal,,Starbound,,Brand new music from Seattle! project by Colby Sixx
2,Dennis Russell Davies dir. Stuttgart Orchestra,"Act I: Prelude: Refrain, Verses 1-3",,Philip Glass; Akhnaten,CBS Masterworks,1984 premiere of Philip Glass opera
3,David Bowie,Lazarus,,Blackstar,ISO Records,Final album released two days before Bowie’s death
4,Lycia,A Failure,,In Flickers,Projekt,Darkwave from 2018
5,Small Black,Tampa,,Cheap Dreams,100% Electronica,wistful chillwave found-footage vibes
6,Future Islands,Born In a War,,As Long as You Are,4AD,Synthpop from 2020
7,Georgia,Running Up That Hill,,Seeking Thrills (The Ultimate Thrills Edition),Domino,Covering Kate Bush
8,Pure Bathing Culture,Black Starling,,Night Pass,,Portland new agey-dream-pop
9,Ryuichi Sakamoto,fullmoon,,async,Milan,partially recorded in Bastyr University Chapel
10,Ryuichi Sakamoto,20220302 sarabande,,12,Milan,January 2023 release
11,Ryuichi Sakamoto,20220304,,12,Milan,sketches for piano and electronics
12,Craig Padilla & Marvin Allen,Onwards and Upwards,,Weathering the Storm,Spotted Peccary,New! guitar & synth homage to Kosmiche Musik
13,Ryuichi Sakamoto,20220302,,12,Milan,sketches for piano and electronics
14,Ryuichi Sakamoto,20210310,,12,Milan,January 2023 release
15,Electric Youth,Merry Christmas Mr. Lawrence,,A Tribute to Ryuichi Sakamoto – To the Moon and Back,Milan,Toronto synthpop ‘remodel’ of Ryuichi Sakamoto
16,Terminus Void,Discovery,,Origins Unknown,,Seattle synthesist J. Ronald Smith
17,Peter Gabriel,In Doubt A Different Drum,,Passion: Music for The Last Temptation of Christ,Real World,i/o: The Tour Seattle October 8
18,Arushi Jain,I Feel Incomplete Without Sound,,With & Without,GHUNGHRU,Opening for Suzanne Ciani Seattle May 20
19,Suso Saiz,…Un Hombre Oscuro,,Odisea,Music From Memory,On tour with Age of Reflections
20,Locsil,Equivalent 7,,Equivalents,Kranky,"Vancouver artist Scott Morgan, featuring samples from work created for Glenn Gould retrospective w/ Sakamoto-san"
