position,artist,song,time,album,label,notes
1,FM Attack ft. Julian Sanza,Fade Away,,Deja Vu,Tonite Records,Synthwave project from Vancouver BC (Shawn Ward) – 2013 sophomore album
2,Talk Talk,It’s My Life,,It’s My Life,EMI,"1984, second LP"
3,Japanese Breakfast,Be Sweet,,Jubilee,Dead Oceans,"Sold out performance at ZooTunes on August 20, 2023 with Built to Spill"
4,Steve Roach & Michael Shrieve,Theme For The Far Away,,The Leaving Time,Novus,1988 collaboration re-released in October 2022
5,David Arkenstone,Night Wind,,Valley in the Clouds,Narada Equinox,"2023 tour in May ; dates include Bellevue, Enumclaw, Seattle, Tacoma, Vancouver BC, Victoria BC, Portland…"
6,Richard Souther,The Long Riders,,Cross Currents,Narada Equinox,1989 New Age
7,Dead Can Dance,The Carnival Is Over,,Into The Labyrinth,4AD,"1993, remembrance of Brendan Perry’s visit to a circus as a pre-teen"
8,Frore,Fern Cluster,,Biome,Spotted Peccary,Brand new! Releases on April 21 – label debut from Paul Casper
9,Pink Floyd,Signs of Life,,A Momentary Lapse of Reason,EMI,1987 – First Floyd album w/o Roger Waters…
10,Pink Floyd,Learning to Fly,,A Momentary Lapse of Reason,EMI,…some may call it a David Gilmour solo album featuring Richard Wright and Nick Mason 🙂
11,Redshift,Shift to Blue (live),,RW Three,,"2008 concert, at Hampshire Jam Seven festival"
12,End,Segment,,One,,
13,Active Region,Into the Black,,Horizon Dispatch,Exosphere,"February 2023 release, project of Peter Brefini"
14,Jean-Michel Jarre,"Oxygène, Pt 2",,Oxygène,Les Disques Motors,1976 album – perhaps most important album in the history of electronic music?
15,Mary Lattimore,Silver Ladders,,Silver Ladders,Ghostly International,"2020, universal acclaim, Bandcamp Album of the day"
16,Andreas Vollenweider,The Glass Hall (Choose the Crystal) – The Play of the Five Balls – The Five Planets Canopy Choir,,White Winds,CBS,"1984, fourth album with very long track titles"
17,Keep Shelly in Athens,Me Then (B-side),,Philomeno / Me Then (single),Athenian Aura Recordings,"Greek/Australian duo, 2021 single"
18,Boards of Canada,Kid for Today,,In a Beautiful Place out in the Country,Warp,"2008 EP, Scottish brothers Mike Sandison + Marcus Eoin"
19,Cool Maritime,Apex,,Big Earth Energy,Western Vinyl,Seattle musician Shawn Hellfritsch; 2022 album
20,Kitaro,Hiten (Flying Celestial Nymphs),,Silk Road (Vol 1),Canyon,Soundtrack for 1980 Japanese TV documentary series
21,Vangelis,Theme from Antarctica,,Antarctica: Original Soundtrack,Polydor,Koreyoshi Kurahara drama – 1958 Japanese scientific expedition to the South Pole
22,Michael Hoenig,Hanging Garden Transfer,,Departure from the Northern Wasteland,Warner Records,"German composer, collaborated with Tangerine Dream, Klaus Schulze, Ash Ra Tempel; this was his debut album (1978)"
23,End,Convergence,,Zone,006,Please support KSER with your donation
